city,timestamp,temperature,season
New York,2010-01-01,-4.230154268922376,winter
New York,2010-01-02,-1.0741029450749808,winter
New York,2010-01-03,5.214759246333475,winter
New York,2010-01-04,4.9045339744926135,winter
New York,2010-01-05,-0.873241784368331,winter
New York,2010-01-06,8.41044035043478,winter
New York,2010-01-07,-1.0145387711529192,winter
New York,2010-01-08,7.376434135278167,winter
New York,2010-01-09,9.500717499667132,winter
New York,2010-01-10,1.3871389874572515,winter
New York,2010-01-11,-2.4577454828969674,winter
New York,2010-01-12,2.360003502057844,winter
New York,2010-01-13,-10.598248240620675,winter
New York,2010-01-14,1.9794974637859122,winter
New York,2010-01-15,1.7661583647305203,winter
New York,2010-01-16,10.651501048677876,winter
New York,2010-01-17,12.672715132441876,winter
New York,2010-01-18,-1.3831937791535933,winter
New York,2010-01-19,3.7495772177168245,winter
New York,2010-01-20,2.203577220350844,winter
New York,2010-01-21,-3.5215404108154296,winter
New York,2010-01-22,-1.26155962333979,winter
New York,2010-01-23,2.9205699572063786,winter
New York,2010-01-24,-2.945323341580065,winter
New York,2010-01-25,-2.922393335288655,winter
New York,2010-01-26,4.030746465028817,winter
New York,2010-01-27,4.16078407756154,winter
New York,2010-01-28,9.063872671168529,winter
New York,2010-01-29,9.284103750376314,winter
New York,2010-01-30,-3.3705305037428888,winter
New York,2010-01-31,-3.6937299258055956,winter
New York,2010-02-01,1.4613031995959145,winter
New York,2010-02-02,-3.900029279774828,winter
New York,2010-02-03,-5.5434807788464795,winter
New York,2010-02-04,4.761378229421912,winter
New York,2010-02-05,-3.7969643428956674,winter
New York,2010-02-06,-2.645048764363582,winter
New York,2010-02-07,-2.4040352878624702,winter
New York,2010-02-08,9.958220979759506,winter
New York,2010-02-09,-5.537231656179575,winter
New York,2010-02-10,-2.3241858090819894,winter
New York,2010-02-11,0.6358873479615241,winter
New York,2010-02-12,-11.4548705948446,winter
New York,2010-02-13,2.3372298367523645,winter
New York,2010-02-14,1.2756555113531487,winter
New York,2010-02-15,7.536699700262782,winter
New York,2010-02-16,1.2222790610903442,winter
New York,2010-02-17,-9.16216623347933,winter
New York,2010-02-18,1.6519427907366089,winter
New York,2010-02-19,-0.25834230821798876,winter
New York,2010-02-20,-1.1051948322083784,winter
New York,2010-02-21,0.6124163684375272,winter
New York,2010-02-22,2.7997837209704097,winter
New York,2010-02-23,-6.425555941069878,winter
New York,2010-02-24,-4.6238693795834696,winter
New York,2010-02-25,5.139248036919147,winter
New York,2010-02-26,-1.389965999173949,winter
